,product,link,Fat,Saturates,Sugar,Salt
0,ASDA Greek Style Yogurt,https://groceries.asda.com/product/25611979,medium,high,low,low
1,ASDA Greek Style Yogurt,https://groceries.asda.com/product/910000773349,medium,high,low,low
2,ASDA Greek Style Fat Free Yogurt,https://groceries.asda.com/product/910000461906,low,low,medium,low
3,ASDA 6 Low Fat Red Fruit Yogurts,https://groceries.asda.com/product/910002962908,low,low,medium,low
4,Muller Corner Vanilla Yogurt with Chocolate&nbsp;Balls,https://groceries.asda.com/product/1000120228362,,,,
5,Muller Corner Strawberry Yogurt,https://groceries.asda.com/product/1000120228322,,,,
6,Munch Bunch Double Up Strawberry &amp; Vanilla Yogurts,https://groceries.asda.com/product/910000446045,,,,
7,"Frubes Strawberry, Red Berry and Peach Flavour Yogurt",https://groceries.asda.com/product/1000078555677,,,,
8,Muller Light Fat Free Toffee Yogurt,https://groceries.asda.com/product/1000116808315,,,,
9,"Petits Filous Apricot, Strawberry &amp; Raspberry Yogurt",https://groceries.asda.com/product/910001458433,,,,
10,Muller Light Fat Free Strawberry Yogurt,https://groceries.asda.com/product/1000116808369,,,,
11,Muller Corner Vanilla Chocolate Balls &amp; Banana Chocolate Flakes Yogurt,https://groceries.asda.com/product/1000120228326,,,,
12,Muller Light Fat Free Banana and Custard Yogurt,https://groceries.asda.com/product/1000116808339,,,,
13,Muller Corner Vanilla Yogurt with Chocolate Digestive Biscuits,https://groceries.asda.com/product/1000120228348,,,,
14,Muller Corner Banana Yogurt with Chocolate Flakes,https://groceries.asda.com/product/1000120228335,,,,
15,Muller Corner Strawberry Yogurt with White Chocolate Shortcake Balls,https://groceries.asda.com/product/1000120228351,,,,
16,Muller Corner Toffee Yogurt with Chocolate Hoops,https://groceries.asda.com/product/1000120228313,,,,
17,Wildlife Variety Yogurt Choobs,https://groceries.asda.com/product/1000078555663,,,,
18,Frubes Strawberry Flavour Yogurt,https://groceries.asda.com/product/1000078555632,,,,
19,Petits Filous Raspberry &amp; Strawberry Yogurt,https://groceries.asda.com/product/910001458097,,,,
20,Petits Filous Apricot &amp; Strawberry Yogurt,https://groceries.asda.com/product/910001458398,,,,
21,Munch Bunch Squashums Raspberry Yogurt,https://groceries.asda.com/product/78035003,,,,
22,Muller Rice Strawberry Low Fat Dessert,https://groceries.asda.com/product/910001390057,,,,
23,ASDA Smart Price Low Fat Natural Yogurt,https://groceries.asda.com/product/31061795,low,low,medium,low
24,Lancashire Farm Natural Yogurt,https://groceries.asda.com/product/1000000473618,,,,
25,Activia Rhubarb Yogurts,https://groceries.asda.com/product/1000106846731,,,,
26,"Onken Mango, Papaya &amp; Passion Fruit Yogurt",https://groceries.asda.com/product/910000470832,,,,
27,Activia Fat Free Strawberry Yogurts,https://groceries.asda.com/product/1000106846740,,,,
28,Lancashire Farm Fat Free Natural Yogurt,https://groceries.asda.com/product/910000855702,,,,
29,Yeo Valley Strawberry Yogurt,https://groceries.asda.com/product/24151900,,,,
30,Activia Fat Free Cherry Yogurts,https://groceries.asda.com/product/1000106846457,,,,
31,"Activia Mango, Strawberry, Kiwi and Apricot Yogurts",https://groceries.asda.com/product/1000106846691,,,,
32,ASDA Greek Style Yogurt with Honey,https://groceries.asda.com/product/910000461974,medium,medium,medium,medium
33,"Muller Corner Strawberry, Peach &amp; Apricot Yogurts",https://groceries.asda.com/product/1000120228378,,,,
34,Onken Fat Free Strawberry Yogurt,https://groceries.asda.com/product/910000470905,,,,
35,Onken Fat Free Vanilla Yogurt,https://groceries.asda.com/product/910000470969,,,,
36,Yeo Valley Natural Yogurt,https://groceries.asda.com/product/13307684,,,,
37,ASDA Extra Special Lemon Yogurt,https://groceries.asda.com/product/910001008981,medium,high,medium,low
38,Activia Strawberry Yogurts,https://groceries.asda.com/product/1000106846552,,,,
39,Muller Light Fat Free Greek Style Lemon Yogurts,https://groceries.asda.com/product/910000858813,,,,
40,Munch Bunch Squashums Strawberry Yogurt Drinks,https://groceries.asda.com/product/48537352,,,,
41,Activia Fat Free Peach Yogurts,https://groceries.asda.com/product/1000106846815,,,,
42,ASDA Fat Free Natural Yogurt,https://groceries.asda.com/product/910000353976,low,low,medium,low
43,Onken Natural Biopot Yogurt,https://groceries.asda.com/product/910000470977,,,,
44,ASDA 6 Low Fat Smooth Vanilla &amp; Banana Yogurts,https://groceries.asda.com/product/910002979301,low,low,medium,low
45,ASDA Extra Special Strawberry Yogurt,https://groceries.asda.com/product/910001009596,medium,high,medium,low
46,Activia Intensely Creamy Strawberry Yogurts,https://groceries.asda.com/product/910001285499,,,,
47,Onken Cherry Yogurt,https://groceries.asda.com/product/910000470865,,,,
48,Light &amp; Free Fat Free Greek Style Strawberry Yogurts,https://groceries.asda.com/product/910002325420,,,,
49,ASDA Smart Price 6 Low Fat Fruit Yogurts,https://groceries.asda.com/product/910002962694,low,low,medium,low
50,Activia Mango Yogurts,https://groceries.asda.com/product/1000106846550,,,,
51,ASDA Extra Special Black Cherry Yogurt,https://groceries.asda.com/product/910001009588,medium,high,medium,low
52,Yeo Valley Greek Style Honey Yogurt,https://groceries.asda.com/product/28167301,,,,
53,Light &amp; Free Fat Free Greek Style Peach Passionfruit Yogurts,https://groceries.asda.com/product/910002325626,,,,
54,Onken Raspberry Yogurt,https://groceries.asda.com/product/910000781034,,,,
55,Muller Corner Red Cherry Yogurt,https://groceries.asda.com/product/1000120228347,,,,
